id,text,label
5395b38289caf44955e4,"ürün çok yavaş çalışıyor,bu güne kadar aldığım kumandalı ürünler içinde kumandası en kötü ürün tuşlar içinde kalıyor basıldığında,biraz daha iyi bişey bakın kesinlikle bu paraları hak etmiyor",negative
237c9b114a68181c9ac5,"ürünü buradann indiriminden aldım... piyasaya göre neredeyse yarı fiyatına almış oldum...siparisten bir gün sonra elime ulaştı...tek kelimeyle mükemmel... ev için ideal... daha profosyenel bir şeyler düşünmüyorsanız, ihtiyacı olanlar mutlaka almalı...",positive
9e355371b388bf8867ab,bunu alacaktım 140 santim aralıklı 65 ekran tvyi yerden 20-30 santim yükseltmek için ama aslında gerek yok ayakların altına kitap vs bile konabilir lüzumsuz yere yer de kaplamaz montaj ve kargo derdi de yok üstelik beleş :),negative
f37ec56e41c77d71b0d7,almayı düşünenler hiç  şüphe  etmeden alsınlar cekim gücü çok iyi,positive
ce572dce6499fe0201e8,çok kullanışlı ve güzel bir ürün. montajı kolay. görüntüsü güzel. fiatını diğer ürünlerle mukayese ettiğinizde bayağı makul. ihtiyacı olanlara tavsiye ederim,positive
589808666d994b831b98,ürünü henüz kullanmadım. fakat fotoğraftaki yeşil açma düğmesi yok. akmaması için normal bir kapak takılmış. fotoğraflarınız yanıltıyor.,negative
a0700779ea9572c9cb10,arkadaşlar yoruma okuyarak ürün alan biri olarak yorum yapan arkadaşlara teşekkürler. ürün kullanan bilir o yüzden ben pek memnun olmadım çok ısınıyor küçük bir su gideri yeri açtım makina ateşe döndü . isınması pek hayra alamet değil. fazla sıkıştırmayın kırıcıda fazla kullanmayın. fiyata göre eh işte pazarda ki çin malı bile bu kadar değildi.,negative
d8f64698936c2ba1fb8d,"malzeme kaliteli, şık da duruyor ama su kaynadıktan sonra ateşi kapatmaz ya da son ayara kadar kısmazsanız kulpları bir kaç dakika sonra epey ısınıyor, yani dalgınlık anında elinizi acıtabilir dikkat edin :)",negative
2fcbefad965920a2b6a5,çok tereddütle aldım. yorumlara güvendim açıkçası. ama oldukça rahat. elbette bel fıtığını iyileştirmesini beklemiyorum ama sırt ağrılarımı hafiflettiğini ve daha rahat uyuduğumu söyleyebilirim.,positive
d99b0939b346cddfa263,hiç beklediğim gibi olmadı iade edecem bence başka bir marka tercih edebilirsiniz,negative
ac9daf1dc83c4092e364,3 gün içinde 60 sayfayı bitirdi kızım. sürekleyici ve dikkat toplayıı bir ürün. fiyatıda piyasanın son derece altında...,positive
815d58ba341a6ece19e8,çok güzel çay demleniyor ve rengi duruşu çok güzel,positive
b117f26f3e23d2bdde1f,"buhar ütüleme kalitesi iyi,",negative
09dde17424ed6a098689,1. kesinlikle kahve sıcak olmuyor. hatta ılık bile zor denir.,negative
e33d14d463e98d2263ee,"beklediğimden küçük, kulplar vs düşük kalite. balkon, kiler gibi yerlerde iş görür. evin içinde kullanmak için şık bişey değil.",negative
51380ea9f498f628475b,görünüş konusuna gelirsek hem resmi hem spor saat diyorlar ama bence çok da resmi bir saat değil. renkli bir takım elbiseye gider. onun dışında kot ile çok uyumlu duruyor. alcak arkadaşlara öneririm.,positive
616543640bc9744f638c,çok başarili ama psi̇koloji̇k sorunlari olan takintili bi̇r adamin saplantili bi̇r aşkini anlatiyor...ve çok fazla bi̇lgi̇ ki̇rli̇li̇ği̇ var si̇yasetten felsefeden gerekse di̇nden bi̇rşeyler anlatmiş ve çoğuna katilmadim bazilarini çok saçma bi̇le buldum.ayrica gri̇ni̇n elli̇ tonu gi̇bi̇ ci̇nsel i̇çeri̇klerde var ama anlatim tarzi çok kaba ..adamin konuşma tarzi kaba ve küfürlü bana i̇ti̇ci̇ geldi̇ bi̇r bayan yazarin romani gi̇bi̇ deği̇l...seri̇ şekli̇nde aldim ve i̇lk defa bi̇r seri̇yi̇ yarim biraktim...belki̇ i̇lerleyen zamanda ki̇tapsiz kalirsam okurum,negative
c6d45c5d3aed8f386446,"ürün montaja hazır bir şekilde gelmedi, ve içerisinde doğru düzgün bi montaj kataloğu çıkmadı. montajının zorluğundan dolayı pek tavsiye etmem.",negative
c351872a02833e081e8e,çok memnun kaldım 3 hafta sonra elime ulaştı. düzenli olarak kullandım çok işime yaradı:),negative
4f60adb34b84a9f51a2b,benim bebeğim hiç sevmedi hem büyük taşıyamadı ağzında boşuna aldık ucuz emzik deneyin önce emerse alın derim,negative
398aa515320c70fb927f,koku çok harika kullandığım tek parfüm tavsiye ederim ama esmer tenliler için ideal,positive
12f82599d199a014584a,"annem çok sevinecek, kullanışlı, ekonomik de.",positive
ae23082d8fbea5546445,"ben geçen hafta bu ürünü aldım. i̇yi güzel hoş dedim, kumu değiştirirken rahat edicem dedim fakat kediler pisliklerinin üstünü örterken bu kum torbalarını yırtıyorlar. daha kum değiştirmedim ama değiştirirken yırtıklardan kumlar dışarı  dökülecek. çok da kaliteli yada dayanıklı bir ürün değil. i̇ster alın ister almayın. karar sizin.",negative
2f128c3041827f8f730c,"saati babama hediye olarak aldım, çok beğendi. resimde görülenden daha şık duruyor. fiyatı çok uygun",positive
1a093cde119a89d5a123,elime 2 gün içinde ulaştı yeni model bmw de harika sonuç verdi kullanması çok rahat ve pratik.,positive
